#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,World,"177,086,088","+64,266","3,829,038","+1,437","161,294,735","+84,758","11,962,315","84,444","22,718",491.2,,,,All,,,,,,,
95,Montenegro,"99,964",,"1,602 ",,"97,951",,411,60,"159,142","2,550","431,433","686,840","628,142 ",Europe,63921,,,654
96,Ghana,"94,493",,789 ,,"92,589",,"1,115",5,"2,982",25,"1,208,386","38,134","31,687,517 ",Africa,"33540,16226",,,35
97,Finland,"93,923",+73,964 ,,"46,000",,"46,959",9,"16,926",174,"5,236,126","943,630","5,548,919 ",Europe,"595,7561",13,,"8,463"
98,Afghanistan,"93,272",,"3,683 ",,"61,706",,"27,883","1,124","2,346",93,"533,222","13,411","39,758,628 ",Asia,"42610,79575",,,701
99,Mongolia,"80,733","+2,386",380 ,+11,"57,822",+797,"22,531",126,"24,256",114,"3,083,418","926,401","3,328,384 ",Asia,"418,7591",717,3,"6,769"
100,Cameroon,"80,090",,"1,310 ",,"77,305",,"1,475",152,"2,948",48,"1,718,937","63,263","27,171,200 ",Africa,"33920,74116",,,54
101,El Salvador,"75,351",,"2,304 ",+5,"70,150",,"2,897",18,"11,562",354,"1,017,902","156,183","6,517,354 ",North America,"862,8296",,0.8,445
102,Cyprus,"73,247",,374 ,,"71,638",,"1,235",11,"60,250",308,"7,253,944","5,966,793","1,215,719 ",Asia,"173,2510",,,"1,016"
103,Mozambique,"71,568",,841 ,,"69,889",,838,17,"2,231",26,"568,719","17,726","32,083,324 ",Africa,"44838,14956",,,26
104,Maldives,"70,673",,198 ,,"61,761",,"8,714",90,"128,596",360,"937,121","1,705,177","549,574 ",Asia,"82,7761",,,"15,856"
105,Luxembourg,"70,445",,818 ,,"69,129",,498,3,"110,825","1,287","2,988,239","4,701,143","635,641 ",Europe,97770,,,783
106,Namibia,"65,815",,"1,008 ",,"55,187",,"9,620",72,"25,465",390,"470,132","181,901","2,584,542 ",Africa,"392,5645",,,"3,722"
107,Uganda,"63,099",,434 ,,"48,480",,"14,185",24,"1,340",9,"1,203,499","25,549","47,105,212 ",Africa,"747108,53739",,,301
108,Singapore,"62,315",+14,34 ,,"61,894",,387,2,"10,572",6,"12,809,152","2,173,215","5,894,102 ",Asia,"95173,3560",2,,66
109,Botswana,"61,457",,926 ,,"56,798",,"3,733",1,"25,643",386,"1,230,113","513,268","2,396,627 ",Africa,"392,5882",,,"1,558"
110,Jamaica,"49,356",,"1,011 ",,"27,732",,"20,613",13,"16,599",340,"407,661","137,099","2,973,470 ",North America,"602,9417",,,"6,932"
111,Ivory Coast,"47,760",,306 ,,"47,239",,215,,"1,769",11,"654,588","24,247","26,996,457 ",Africa,"56588,22441",,,8
112,Senegal,"42,050",+27,"1,156 ",+1,"40,637",+46,257,8,"2,450",67,"540,868","31,517","17,161,306 ",Africa,"40814,84532",2,0.06,15
113,Madagascar,"41,966",+18,891 ,+2,"40,279",+15,796,77,"1,480",31,"209,237","7,377","28,364,534 ",Africa,"67631,834136",0.6,0.07,28
114,Zimbabwe,"40,077",,"1,635 ",,"37,027",,"1,415",2,"2,660",109,"599,541","39,788","15,068,321 ",Africa,"3769,21625",,,94
115,Cambodia,"39,464",+495,361 ,+13,"33,571",+604,"5,532",,"2,330",21,"1,253,563","74,006","16,938,666 ",Asia,"42946,92214",29,0.8,327
116,Angola,"36,790",,836 ,,"30,359",,"5,595",11,"1,087",25,"599,707","17,726","33,831,918 ",Africa,"92040,46956",,,165
117,Sudan,"36,304",,"2,732 ",,"29,994",,"3,578",,810,61,"232,965","5,198","44,818,605 ",Africa,"1,23516,405192",,,80
118,DRC,"35,668",,846 ,,"27,849",,"6,973",,387,9,"177,960","1,932","92,133,757 ",Africa,"2,583108,905518",,,76
119,Malawi,"34,564",,"1,159 ",,"32,753",,652,12,"1,764",59,"253,426","12,931","19,597,619 ",Africa,"56716,90977",,,33
120,Cabo Verde,"31,647",,276 ,,"30,542",,829,23,"56,339",491,"163,434","290,950","561,726 ",Africa,"182,0353",,,"1,476"
121,Malta,"30,582",,419 ,,"30,112",+3,51,,"69,086",947,"955,643","2,158,850","442,663 ",Europe,"141,0560",,,115
122,Australia,"30,272",+10,910 ,,"29,189",,173,1,"1,174",35,"19,366,674","751,200","25,780,993 ",Australia/Oceania,"85228,3311",0.4,,7
123,Trinidad and Tobago,"28,982",,677 ,,"19,141",,"9,164",22,"20,645",482,"211,955","150,986","1,403,803 ",North America,"482,0747",,,"6,528"
124,Rwanda,"28,614",,372 ,,"26,383",,"1,859",11,"2,159",28,"1,510,426","113,942","13,256,072 ",Africa,"46335,6359",,,140
125,Réunion,"27,235",,212 ,,"25,088",,"1,935",35,"30,214",235,"102,720","113,957","901,390 ",Africa,"334,2529",,,"2,147"
126,French Guiana,"25,788",,136 ,,"9,995",,"15,657",31,"84,273",444,"269,146","879,545","306,006 ",South America,"122,2501",,,"51,166"
127,Syria,"24,860",,"1,815 ",,"21,682",,"1,363",,"1,389",101,"103,566","5,785","17,903,057 ",Asia,"7209,864173",,,76
128,Gabon,"24,755",,157 ,,"23,910",,688,17,"10,879",69,"842,822","370,397","2,275,455 ",Africa,"9214,4933",,,302
129,Guinea,"23,398",,167 ,,"21,488",,"1,743",24,"1,737",12,"460,401","34,181","13,469,673 ",Africa,"57680,65729",,,129
130,Mayotte,"20,176",,173 ,,"2,964",,"17,039",6,"72,303",620,"176,919","634,014","279,046 ",Africa,"141,6132",,,"61,062"
131,Mauritania,"20,109",,476 ,,"19,181",,452,16,"4,220",100,"285,656","59,945","4,765,268 ",Africa,"23710,01117",,,95
132,French Polynesia,"18,939",,142 ,,"18,749",,48,,"67,052",503,"26,355","93,308","282,453 ",Australia/Oceania,"151,98911",,,170
133,Eswatini,"18,746",,676 ,,"17,952",,118,10,"16,001",577,"217,910","185,997","1,171,581 ",Africa,"621,7335",,,101
134,Suriname,"18,599",,412 ,,"14,172",,"4,015",33,"31,437",696,"71,093","120,165","591,630 ",South America,"321,4368",,,"6,786"
135,Guyana,"18,446",,430 ,,"16,313",,"1,703",21,"23,344",544,"169,995","215,139","790,165 ",South America,"431,8385",,,"2,155"
136,Papua New Guinea,"16,682",,165 ,,"16,017",,500,7,"1,832",18,"126,627","13,903","9,107,705 ",Australia/Oceania,"54655,19872",,,55
137,Haiti,"16,662",,358 ,,"12,563",,"3,741",,"1,445",31,"80,567","6,985","11,534,575 ",North America,"69232,219143",,,324
138,Guadeloupe,"16,608",,225 ,,"2,250",,"14,133",23,"41,500",562,"212,247","530,367","400,189 ",North America,"241,7792",,,"35,316"
139,Somalia,"14,817",,774 ,,"7,043",,"7,000",,908,47,"139,852","8,573","16,312,450 ",Africa,"1,10121,076117",,,429
140,Mali,"14,352",,523 ,,"9,959",,"3,870",,690,25,"307,187","14,767","20,802,155 ",Africa,"1,44939,77568",,,186
141,Andorra,"13,826",,127 ,,"13,618",,81,3,"178,670","1,641","193,595","2,501,777","77,383 ",Europe,66090,,,"1,047"
142,Togo,"13,631",,126 ,,"13,308",,197,,"1,611",15,"347,152","41,023","8,462,427 ",Africa,"62167,16224",,,23
143,Seychelles,"13,630",,50 ,,"12,173",,"1,407",,"137,780",505,"21,504","217,375","98,926 ",Africa,"71,9795",,,"14,223"
144,Burkina Faso,"13,459",,167 ,,"13,272",,20,,628,8,"192,022","8,954","21,445,283 ",Africa,"1,593128,415112",,,0.9
145,Tajikistan,"13,308",,90 ,,"13,218",,0,,"1,366",9,,,"9,740,527 ",Asia,"732108,228",,,
146,Taiwan,"13,241",+135,460 ,+8,"8,042",+425,"4,739",,555,19,"1,491,078","62,498","23,857,836 ",Asia,"1,80251,86516",6,0.3,199
147,Belize,"12,971",,326 ,,"12,479",,166,1,"32,069",806,"142,646","352,671","404,473 ",North America,"311,2413",,,410
148,Curaçao,"12,296",,123 ,,"12,144",,29,4,"74,642",747,"120,430","731,066","164,732 ",North America,"131,3391",,,176
149,Bahamas,"12,199",,237 ,,"11,136",,826,4,"30,742",597,"101,962","256,950","396,816 ",North America,"331,6744",,,"2,082"
150,Congo,"12,121",,160 ,,"11,211",,750,,"2,147",28,"158,304","28,035","5,646,633 ",Africa,"46635,29136",,,133
151,Martinique,"12,110",,98 ,,98,,"11,914",5,"32,294",261,"186,858","498,304","374,988 ",North America,"313,8262",,,"31,772"
152,Hong Kong,"11,879",,210 ,,"11,598",,71,1,"1,572",28,"16,710,131","2,211,849","7,554,825 ",Asia,"63635,9750",,,9
153,Djibouti,"11,575",,154 ,,"11,405",,16,,"11,556",154,"165,527","165,256","1,001,639 ",Africa,"876,5046",,,16
